;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;1.06;1.045;1.0208277335472156;1.0120659209118221;1.01;1.0105688474090155;1.0025662673441256;1.0099999999999996;1.05107432187226;1.0452845100131147;1.0819999999999999;1.0572786470487179;1.0710000000000002;1.0424491751257101;1.0378400242001757;1.0445341496668;1.0400610014334437;1.0283114663519273;1.0258107401297918;1.0298955511349166;1.0328875105853783;1.0334193227402089;1.0273469994074405;1.0217583937223;1.017525739446985;0.9998518522588572;1.0234445614892071;1.0070559700872979;1.0036098169371763;0.992137671263117
1;1.06;1.0449999999999997;1.020823610897585;1.0120631559599444;1.01;1.0105681481006712;1.0025658813532015;1.0100000000000002;1.051073639252426;1.0452834042080248;1.082;1.0572779187540475;1.0709999999999997;1.0424484649881145;1.0378391215855645;1.044533071341408;1.0400599523870273;1.0283104643535592;1.0258096900135738;1.0298944795049374;1.0328864010472985;1.0334182172777724;1.0273460284615532;1.0217573633825232;1.017524647408587;0.9998507404640956;1.0234434578800105;1.0070554170151558;1.0036086895396656;0.9921365301893383
2;1.06;1.045;1.0208194875273615;1.0120603904911942;1.01;1.0105674480862272;1.0025654948353238;1.0099999999999998;1.0510729564028967;1.0452822983906185;1.0819999999999996;1.0572771899779911;1.071;1.0424477543515422;1.0378382186625548;1.0445319928983519;1.0400589032445018;1.0283094621642614;1.0258086397700876;1.0298934077824036;1.0328852914853621;1.0334171117866962;1.027345057292916;1.021756332915932;1.0175235553494986;0.9998496286931163;1.0234423542771294;1.0070548634204992;1.0036075622188845;0.9921353892453552
3;1.06;1.045;1.0208153675363876;1.012057627242774;1.0100000000000002;1.0105667480410305;1.002565108155424;1.0100000000000002;1.051072273977657;1.0452811936233348;1.0820000000000003;1.0572764614210448;1.071;1.042447043892122;1.037837316293196;1.0445309153799547;1.040057855013509;1.0283084607407078;1.0258075904021848;1.0298923369923783;1.0328841829578157;1.033416007319679;1.0273440868150405;1.0217553032758282;1.0175224642324352;0.999848517881122;1.023441251648734;1.0070543098198808;1.003606435893473;0.9921342493087374
4;1.06;1.0449999999999997;1.0208112550665616;1.0120548689929991;1.0099999999999996;1.0105660486732535;1.0025647217057299;1.01;1.051071592663757;1.045280091015794;1.082;1.057275733818388;1.071;1.0424463343270354;1.0378364153860173;1.0445298398691856;1.0400568087474966;1.028307461090062;1.0258065429647178;1.0298912682109675;1.032883076578198;1.0334149049862282;1.0273431180043433;1.0217542754974795;1.0175213751540038;0.9998474091445126;1.023440151102838;1.0070537567731943;1.0036053116952577;0.9921331115249885
5;1.06;1.0450000000000002;1.0208071542666117;1.0120521185249485;1.01;1.0105653506946128;1.002564335880998;1.0099999999999998;1.0510709131499183;1.045278991678893;1.0819999999999994;1.057275007907901;1.0709999999999997;1.0424456263762432;1.0378355168517852;1.0445287674506458;1.0400557655014573;1.0283064642213795;1.0258054985142369;1.0298902025158532;1.0328819734614014;1.0334138058972249;1.0273421518392702;1.0217532506179356;1.0175202892124349;0.999846303601342;1.0234390537490081;1.0070532048430654;1.003604190757651;0.992131977041219
6;1.06;1.0450000000000002;1.0208030692877605;1.0120493786235496;1.01;1.0105646548196;1.0025639510780806;1.01;1.0510702361258;1.0452778967236291;1.0820000000000005;1.0572742844293757;1.0710000000000002;1.0424449207617112;1.0378346216025347;1.0445276992094275;1.0400547263308126;1.0283054711445336;1.0258044581078625;1.0298891409851503;1.0328808747224962;1.0334127111637528;1.0273411892992605;1.0217522296749373;1.0175192075064357;0.9998452023701507;1.023437960697205;1.007052654594241;1.003603074214471;0.9921308470049486
7;1.06;1.0449999999999995;1.020799004279347;1.0120466520726437;1.01;1.0105639617646975;1.0025635676954843;1.0099999999999998;1.0510695622812616;1.0452768072599434;1.0819999999999999;1.0572735641237154;1.0709999999999997;1.0424442182066296;1.0378337305505985;1.044526636229969;1.0400536922903014;1.0283044828691488;1.0258034228021753;1.02988808469627;1.0328797814755655;1.0334116218959388;1.0273402313637094;1.0217512137058213;1.0175181311340307;0.9998441065687835;1.0234368730566143;1.0070521065929738;1.0036019631987396;0.9921297225628923
8;1.06;1.045;1.0207949633843842;1.0120439416519984;1.01;1.0105632722475748;1.0025631861329134;1.01;1.0510688923056268;1.0452757243955437;1.0820000000000005;1.0572728477321212;1.0709999999999997;1.0424435194346158;1.0378328446076237;1.0445255795949062;1.0400526644328658;1.0283035004035228;1.0258023936520917;1.0298870347247824;1.032878694832524;1.0334105392017718;1.0273392790109181;1.0217502037464112;1.017517061191394;0.9998430173132011;1.0234357919344659;1.0070515614063864;1.0036008588414853;0.9921286048597471
9;1.06;1.0450000000000004;1.0207909507350723;1.0120412501342944;1.01;1.0105625869862653;1.002562806790802;1.01;1.0510682268869165;1.0452746492347111;1.082;1.0572721359952615;1.071;1.0424428251688989;1.0378319646835656;1.044524530383894;1.0400516438085017;1.0283025247535245;1.0258013717097176;1.029885992143246;1.0328776159019184;1.0334094641859104;1.0273383332170212;1.0217492008298936;1.0175159987716618;0.9998419357162726;1.0234347184348378;1.0070510196018214;1.0035997622705153;0.9921274950369494
